original_term,ontology_id,ontology_label,ontology_source,confidence_score,mapping_method
K+ buffering and spatial ion distribution,GO:0055075,potassium ion homeostasis,GO,0.85,partial_match
Water transport and edema regulation,GO:0006833,water transport,GO,0.95,exact_match
Gap junction intercellular communication,GO:0005243,gap junction channel activity,GO,0.9,exact_match
Neurovascular coupling,UBERON:0016630,neurovascular bundle,UBERON,0.8,partial_match
Perivascular astrocyte endfoot,GO:0097450,astrocyte end-foot,GO,0.9,exact_match
Astrocyte gap junction (connexin 43 complex),GO:0005922,connexin complex,GO,0.8,partial_match
Glial limitans and basement membrane contacts,GO:0097451,glial limiting end-foot,GO,0.85,composite_exact_match
Extracellular matrix deposition and remodeling,GO:0030198,extracellular matrix organization,GO,0.9,exact_match
Cell migration and invasion,GO:0016477,cell migration,GO,0.8,partial_match
Inflammatory signaling (NF-κB activation),GO:0007249,canonical NF-kappaB signal transduction,GO,0.95,exact_match
Mechanotransduction and Hippo pathway signaling,GO:0035329,hippo signaling,GO,0.8,synonym_match
Focal adhesion complex,GO:0005925,focal adhesion,GO,1.0,exact_match
Stress fibers and contractile cytoskeleton,GO:0001725,stress fiber,GO,1.0,synonym_match
Perivascular niche interface,UBERON:0014930,perivascular space,UBERON,0.9,partial_match
Glutamate uptake and buffering,GO:0051935,glutamate reuptake,GO,0.95,partial_match
GABA reception and neuromodulation,GO:0098982,GABA-ergic synapse,GO,0.9,partial_match
GPCR-triggered Ca2+ signaling,GO:0007186,G protein-coupled receptor signaling pathway,GO,0.85,synonym_match
cAMP and cGMP second messenger modulation,GO:0019933,cAMP-mediated signaling,GO,0.9,synonym_match
Tripartite synapse (astrocyte–synapse interface),,,,0.0,
Endoplasmic reticulum Ca2+ store,GO:0032469,endoplasmic reticulum calcium ion homeostasis,GO,0.9,exact_match
Perisynaptic astrocyte process,GO:0097449,astrocyte projection,GO,0.85,partial_match
Inhibition of differentiation (maintenance of progenitor state),GO:0002085,inhibition of neuroepithelial cell differentiation,GO,0.8,exact_match
Neural stem cell proliferation,GO:0061351,neural precursor cell proliferation,GO,0.9,exact_match
Radial glial cell identity and guidance,CL:0000681,radial glial cell,CL,0.75,exact_match
STAT3-mediated astrogliogenesis and reactivity,CHEBI:87183,STAT3 inhibitor,ChEBI,0.6,synonym_match
Neurosphere (tumor sphere) formation capacity,CL:0001063,neoplastic cell,CL,0.7,synonym_match
Periventricular radial glial scaffold (analogy),GO:0061924,regulation of formation of radial glial scaffolds,GO,0.8,related concept with regulation
Stem cell niche interactions,GO:0048863,stem cell differentiation,GO,1.0,exact_match
Exogenous lipid uptake,GO:0140354,lipid import into cell,GO,0.9,exact_match
Fatty acid modification and storage,GO:0055089,fatty acid homeostasis,GO,0.85,exact_match
Glutamate utilization (anaplerosis),GO:0006536,glutamate metabolic process,GO,0.8,synonym_match
Oxidative stress mitigation,GO:0006979,response to oxidative stress,GO,0.88,partial_match
Lipid droplets,GO:0005811,lipid droplet,GO,1.0,exact_match
Mitochondrial matrix (TCA cycle enzymes),GO:0005759,mitochondrial matrix,GO,1.0,exact_match
Peroxisomes (lipid catabolism sites),GO:0046466,membrane lipid catabolic process,GO,0.9,related_process_match
