annotation_text	cl_id	cl_label	article_id_pmc	enrichment	grounding_cl_id	grounding_cl_label	result
EC	CL:0000115	endothelial cell	10597444	{'name': 'EC', 'full_name': 'endothelial cell', 'paper_synonyms': 'endothelial cells; ECs', 'tissue_context': 'human coronary PVAT; coronary perivascular adipose tissue (PVAT)'}	CL:0000115	endothelial cell	TRUE
mesothelial cell	CL:0000077	mesothelial cell	10597444	{'name': 'mesothelial cell', 'full_name': 'mesothelial cell', 'paper_synonyms': 'mesothelial cells; MC', 'tissue_context': 'human coronary PVAT; coronary perivascular adipose tissue (PVAT)'}	CL:0000077	mesothelial cell	TRUE
SMC	CL:0000192	smooth muscle cell	10597444	{'name': 'SMC', 'full_name': 'smooth muscle cell', 'paper_synonyms': 'smooth muscle cells; SMCs', 'tissue_context': 'human coronary PVAT; coronary perivascular adipose tissue (PVAT)'}	CL:0000192	smooth muscle cell	TRUE
ECs	CL:0000115	endothelial cell	10597444	{'name': 'ECs', 'full_name': 'endothelial cells', 'paper_synonyms': 'endothelial cell; EC', 'tissue_context': 'human coronary PVAT; coronary perivascular adipose tissue (PVAT)'}	CL:0000115	endothelial cell	TRUE
mesothelial cells	CL:0000077	mesothelial cell	10597444	{'name': 'mesothelial cells', 'full_name': 'mesothelial cells', 'paper_synonyms': 'mesothelial cell; MC', 'tissue_context': 'human coronary PVAT; coronary perivascular adipose tissue (PVAT)'}	CL:0000077	mesothelial cell	TRUE
SMCs	CL:0000192	smooth muscle cell	10597444	{'name': 'SMCs', 'full_name': 'smooth muscle cells', 'paper_synonyms': 'smooth muscle cell; SMC', 'tissue_context': 'human coronary PVAT; coronary perivascular adipose tissue (PVAT)'}	CL:0000192	smooth muscle cell	TRUE
retinal pigment epithelium	CL:0002586	retinal pigment epithelial cell	10530494	{'name': 'retinal pigment epithelium', 'full_name': 'retinal pigment epithelium', 'paper_synonyms': 'RPE; RPE cells; RPEs', 'tissue_context': 'retinal pigment epithelium (RPE); mammalian retina'}	CL:0002586	retinal pigment epithelial cell	TRUE
RPE	CL:0002586	retinal pigment epithelial cell	10530494	{'name': 'RPE', 'full_name': 'retinal pigment epithelium', 'paper_synonyms': 'retinal pigment epithelium; RPE cells; RPEs', 'tissue_context': 'retinal pigment epithelium (RPE); mammalian retina'}	CL:0002586	retinal pigment epithelial cell	TRUE
Muller cells	CL:0000636	Mueller cell	10530494	{'name': 'Muller cells', 'full_name': 'Müller cells', 'paper_synonyms': 'Müller glia; MGs', 'tissue_context': 'mammalian retina; inner nuclear layer (INL); foveal (F) retina; peripheral (P) retina'}	CL:0000636	Mueller cell	TRUE
photoreceptor	CL:0010009	camera-type eye photoreceptor cell	10530494	{'name': 'photoreceptor', 'full_name': 'photoreceptor cells', 'paper_synonyms': 'photoreceptors; photoreceptor cells', 'tissue_context': 'retina; photoreceptor outer segments (OSs); photoreceptor inner segments (ISs); outer nuclear layer (ONL)'}	CL:0000210	photoreceptor cell	FALSE
