annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
ActMac	CL:0000235	macrophage	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'ActMac', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000235	macrophage	TRUE
AntiB	CL:0000786	plasma cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'AntiB', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000946	antibody secreting cell	FALSE
Arterial	CL:1000413	endothelial cell of artery	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Arterial', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000413	endothelial cell of artery	TRUE
C-Hepato	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'C-Hepato', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
C-Hepato2	CL:0019029	centrilobular region hepatocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'C-Hepato2', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:0000182	hepatocyte	FALSE
CD3T-lrNK	CL:2000054	hepatic pit cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CD3T-lrNK', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:4047101	liver-resident natural killer cell	FALSE
CD4T	CL:0000624	CD4-positive, alpha-beta T cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CD4T', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	TRUE
CD4T--RBC-Doublet	unknown	unknown	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CD4T--RBC-Doublet', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000624	CD4-positive, alpha-beta T cell	FALSE
CD8T	CL:0000625	CD8-positive, alpha-beta T cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CD8T', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000625	CD8-positive, alpha-beta T cell	TRUE
CD8T-cNK	CL:0000623	natural killer cell	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'CD8T-cNK', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000623	natural killer cell	TRUE
Chol	CL:0002538	intrahepatic cholangiocyte	DOI:10.1016/j.jhep.2023.12.023	02792605-4760-4023-82ad-40fc4458a5db_cxg_dataset_unique	{'name': 'Chol', 'full_name': '', 'paper_synonyms': '', 'tissue_context': ''}	CL:1000488	cholangiocyte	FALSE
