annotation_text	cl_id	cl_label	article_id_doi	dataset_name	enrichment	grounding_cl_id	grounding_cl_label	result
CD4-positive, alpha-beta memory T cell	CL:0000897	CD4-positive, alpha-beta memory T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'CD4-positive, alpha-beta memory T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000897	CD4-positive, alpha-beta memory T cell	TRUE
CD8-positive, alpha-beta memory T cell	CL:0000909	CD8-positive, alpha-beta memory T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'CD8-positive, alpha-beta memory T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000909	CD8-positive, alpha-beta memory T cell	TRUE
TCRVbeta13.1pos	CL:0000084	T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'TCRVbeta13.1pos', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	NO MATCH found		FALSE
TissueResMemT	CL:0000813	memory T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'TissueResMemT', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000813	memory T cell	TRUE
double negative T cell (DNT)	CL:0002489	double negative thymocyte	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'double negative T cell (DNT)', 'full_name': 'double negative T cell', 'paper_synonyms': 'DNT', 'tissue_context': ''}	CL:0002489	double negative thymocyte	TRUE
double-positive T cell (DPT)	CL:0000809	double-positive, alpha-beta thymocyte	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'double-positive T cell (DPT)', 'full_name': 'double-positive T cell', 'paper_synonyms': 'DPT', 'tissue_context': ''}	CL:0000809	double-positive, alpha-beta thymocyte	TRUE
gamma-delta T cell	CL:0000798	gamma-delta T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'gamma-delta T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000798	gamma-delta T cell	TRUE
memory B cell	CL:0000787	memory B cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'memory B cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000787	memory B cell	TRUE
mucosal invariant T cell (MAIT)	CL:0000940	mucosal invariant T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'mucosal invariant T cell (MAIT)', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000940	mucosal-associated invariant T cell	TRUE
naive B cell	CL:0000788	naive B cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'naive B cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000788	naive B cell	TRUE
naive CD4+ T cell	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'naive CD4+ T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	TRUE
naive CD8+ T cell	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'naive CD8+ T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	TRUE
plasmablast	CL:0000980	plasmablast	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'plasmablast', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000980	plasmablast	TRUE
regulatory T cell	CL:0000815	regulatory T cell	DOI:10.1016/j.cell.2021.02.018	21d3e683-80a4-4d9b-bc89-ebb2df513dde_cxg_dataset_unique	{'name': 'regulatory T cell', 'full_name': None, 'paper_synonyms': None, 'tissue_context': ''}	CL:0000815	regulatory T cell	TRUE
